class-1-x,class-1-y,class-2-x,class-2-y
4,26,83,73
14,84,91,32
6,44,54,53
26,85,63,66
75,79,56,41
89,14,73,19
30,17,42,22
28,47,78,11
71,26,21,41
25,14,39,42
56,93,90,97
97,36,54,38
1,21,82,34
66,59,92,89
51,64,43,95
42,69,5,58
64,44,81,98
64,22,42,62
41,14,83,95
22,75,20,93
62,5,22,7
63,45,43,13
32,30,88,59
69,42,1,85
88,32,33,54
53,54,73,77
78,21,91,52
74,96,67,75
45,48,34,38
47,96,93,19
2,68,67,34
32,81,91,97
14,96,7,88
42,65,41,9
31,43,28,43
53,89,38,35
61,14,15,21
9,62,39,90
38,14,52,83
86,39,45,95
28,93,39,76
89,78,34,78
8,26,8,4
69,51,65,11
31,32,71,19
67,70,88,51
58,15,51,29
13,56,21,90
97,31,15,58
51,60,44,82
78,35,14,82
55,35,22,85
47,42,53,54
66,27,29,57
5,86,18,74
27,6,65,51
5,16,6,39
36,7,58,70
86,88,39,32
57,6,95,24
92,64,80,70
4,66,25,70
3,56,54,64
42,69,56,73
68,61,78,39
29,81,50,40
82,81,66,77
86,95,1,98
90,93,80,62
24,94,48,38
90,35,37,78
52,93,28,18
33,64,62,94
27,56,94,12
15,40,86,21
98,47,82,7
56,55,72,48
87,93,49,73
14,41,48,92
45,70,87,88
54,48,45,23
33,5,71,34
97,69,47,83
9,27,38,44
51,31,23,96
21,79,30,38
15,88,80,84
9,2,65,44
51,96,66,51
2,60,72,51
82,39,49,18
46,65,64,85
3,5,42,15
47,90,67,73
19,7,8,43
24,86,25,95
4,4,32,11
60,86,42,90
57,70,14,80
30,12,91,49
