class-1-x,class-1-y,class-2-x,class-2-y,class-3-x,class-3-y,class-4-x,class-4-y
2,4,74,56,45,12,52,11
49,61,26,80,9,30,7,62
40,18,83,86,42,26,35,20
75,83,82,37,64,89,43,80
93,91,8,12,87,46,47,2
38,64,24,89,83,45,41,47
47,96,38,76,78,26,11,74
68,55,80,60,29,16,45,59
19,44,85,16,23,93,74,92
70,82,48,76,3,44,35,31
43,35,89,67,51,66,3,68
81,32,43,32,65,86,72,23
19,64,71,39,58,25,25,52
22,44,6,95,77,33,72,25
21,49,17,92,25,77,8,51
42,17,34,89,50,42,28,82
10,25,57,38,71,94,71,19
11,37,45,8,60,7,90,49
58,18,12,16,70,78,96,41
56,21,96,41,90,34,2,79
16,23,85,52,74,35,52,25
77,96,82,87,33,1,89,36
26,84,31,33,30,13,13,30
28,17,80,51,97,30,28,75
35,64,90,38,20,39,73,24
64,86,38,72,94,10,9,56
30,60,16,7,3,68,49,4
10,55,25,57,53,2,26,47
69,8,52,67,9,52,17,85
11,8,67,43,74,40,35,18
9,25,22,37,14,21,72,65
16,87,28,63,15,16,69,63
61,89,3,87,56,41,47,76
44,29,94,94,2,7,28,69
21,7,49,29,79,87,33,48
34,85,52,21,24,52,71,94
37,4,81,84,37,46,61,67
76,44,92,84,25,77,64,9
59,58,42,8,65,41,82,72
56,53,53,70,88,26,52,90
56,1,57,96,25,43,33,73
45,81,52,36,94,48,24,55
22,43,61,65,11,64,29,95
20,9,28,82,92,89,78,50
90,2,28,25,20,66,82,16
26,67,62,83,87,47,77,9
30,97,49,45,64,86,80,91
71,61,77,17,16,49,80,54
3,2,44,92,21,97,35,54
59,46,40,42,2,44,8,72
30,20,52,93,41,33,85,5
21,35,52,58,88,66,98,75
85,9,80,86,4,84,87,32
62,93,84,18,47,38,90,27
53,6,85,95,95,85,13,69
15,40,71,84,45,76,65,91
46,63,55,92,62,20,68,45
31,21,32,47,47,67,57,81
44,26,5,83,80,4,78,1
94,12,71,63,13,3,85,85
28,92,71,82,82,96,63,33
36,40,64,75,54,65,22,47
81,88,41,20,71,81,12,42
83,55,96,51,48,6,32,29
35,46,20,54,95,73,98,46
61,71,47,40,39,4,45,30
89,25,80,23,61,65,15,46
80,29,97,27,98,13,84,31
9,36,40,9,46,66,50,9
88,94,58,1,34,70,4,79
10,67,61,23,24,9,66,68
32,72,73,66,74,72,46,48
85,17,32,4,63,37,83,23
74,72,33,66,8,14,12,10
25,19,17,32,50,62,7,98
68,71,76,72,92,82,33,17
48,10,14,17,39,1,17,72
83,38,48,51,75,1,61,18
61,63,42,56,55,14,96,24
11,33,34,91,60,12,30,90
39,17,18,96,1,93,70,25
2,43,48,13,14,54,24,67
10,58,12,30,41,75,60,34
12,89,7,7,65,25,13,72
9,56,12,58,81,63,18,66
91,18,54,12,65,84,10,55
9,65,81,2,1,1,49,63
55,82,85,10,87,63,58,76
31,75,5,56,42,64,85,45
41,44,37,24,21,48,68,26
80,50,96,98,42,11,71,9
7,48,3,97,77,8,78,28
58,77,80,89,80,52,14,44
79,36,59,55,62,26,42,8
15,59,28,37,66,58,34,20
4,94,50,93,61,86,67,33
64,9,64,43,67,77,45,29
37,53,19,7,51,17,45,80
6,94,83,19,79,42,61,98
44,60,86,84,3,19,81,92
